========================================================================
  KIEM BAT BIEN PHASE 2 — dataset=repobench-p level=function
    sa                 200 mau  <- /workspace/p2-longchat-repobench/sa/repobench-p
    hard_boundary      199 mau  <- /workspace/p2-longchat-repobench/hard_boundary/repobench-p
    struct_hierarchy   199 mau  <- /workspace/p2-longchat-repobench/struct_hierarchy_l1pc01/repobench-p
========================================================================

[B] Cung budget — tong K bang nhau giua cac nhanh
    dataidx   0: sa=819 · hard_boundary=819 · struct_hierarchy=819   ✅
    dataidx   1: sa=1200 · hard_boundary=1200 · struct_hierarchy=1200   ✅
    dataidx   2: sa=951 · hard_boundary=951 · struct_hierarchy=951   ✅
    dataidx   3: sa=1195 · hard_boundary=1195 · struct_hierarchy=1195   ✅
    dataidx   4: sa=1041 · hard_boundary=1041 · struct_hierarchy=1041   ✅
    dataidx   5: sa=1030 · hard_boundary=1030 · struct_hierarchy=1030   ✅
    dataidx   6: sa=250 · hard_boundary=250 · struct_hierarchy=250   ✅
    dataidx   7: sa=1012 · hard_boundary=1012 · struct_hierarchy=1012   ✅
    dataidx   8: sa=1149 · hard_boundary=1149 · struct_hierarchy=1149   ✅
    dataidx   9: sa=1291 · hard_boundary=1291 · struct_hierarchy=1291   ✅
    dataidx  10: sa=223 · hard_boundary=223 · struct_hierarchy=223   ✅
    dataidx  11: sa=329 · hard_boundary=329 · struct_hierarchy=329   ✅
    dataidx  12: sa=619 · hard_boundary=619 · struct_hierarchy=619   ✅
    dataidx  13: sa=330 · hard_boundary=330 · struct_hierarchy=330   ✅
    dataidx  14: sa=1387 · hard_boundary=1387 · struct_hierarchy=1387   ✅
    dataidx  15: sa=305 · hard_boundary=305 · struct_hierarchy=305   ✅
    dataidx  16: sa=996 · hard_boundary=996 · struct_hierarchy=996   ✅
    dataidx  17: sa=835 · hard_boundary=835 · struct_hierarchy=835   ✅
    dataidx  18: sa=394 · hard_boundary=394 · struct_hierarchy=394   ✅
    dataidx  19: sa=224 · hard_boundary=224 · struct_hierarchy=224   ✅
    dataidx  20: sa=458 · hard_boundary=458 · struct_hierarchy=458   ✅
    dataidx  21: sa=1102 · hard_boundary=1102 · struct_hierarchy=1102   ✅
    dataidx  22: sa=1157 · hard_boundary=1157 · struct_hierarchy=1157   ✅
    dataidx  23: sa=1462 · hard_boundary=1462 · struct_hierarchy=1462   ✅
    dataidx  24: sa=474 · hard_boundary=474 · struct_hierarchy=474   ✅
    dataidx  25: sa=398 · hard_boundary=398 · struct_hierarchy=398   ✅
    dataidx  26: sa=912 · hard_boundary=912 · struct_hierarchy=912   ✅
    dataidx  27: sa=510 · hard_boundary=510 · struct_hierarchy=510   ✅
    dataidx  28: sa=753 · hard_boundary=753 · struct_hierarchy=753   ✅
    dataidx  29: sa=398 · hard_boundary=398 · struct_hierarchy=398   ✅
    dataidx  30: sa=683 · hard_boundary=683 · struct_hierarchy=683   ✅
